source,target,type
2527625b-0752-48f3-95fd-c3f216686db8,a88735e6-b35c-4379-8ef7-bbd2b793ccf4,Undirected
13194c93-89c6-4ab4-aaf2-15db5d73b74e,2527625b-0752-48f3-95fd-c3f216686db8,Undirected
1111fd1f-7868-40a5-9dec-15dcd9b175a3,2527625b-0752-48f3-95fd-c3f216686db8,Undirected
2527625b-0752-48f3-95fd-c3f216686db8,31a6b752-291c-456f-ade5-f4b85545e6df,Undirected
2527625b-0752-48f3-95fd-c3f216686db8,a3fa6ee1-598d-4f06-a89d-ee2660eaeef3,Undirected
2527625b-0752-48f3-95fd-c3f216686db8,d48db0f4-fab6-4d18-bc1f-aec43772af96,Undirected
2527625b-0752-48f3-95fd-c3f216686db8,4988f79d-2945-471d-b238-79f04949ed34,Undirected
2527625b-0752-48f3-95fd-c3f216686db8,35143c2f-0484-44e2-bf27-7baa7ca5e135,Undirected
0d114321-6f8f-4ddc-ad3c-9896d16afc27,2527625b-0752-48f3-95fd-c3f216686db8,Undirected
2527625b-0752-48f3-95fd-c3f216686db8,37cb370f-e715-4278-823f-c5555891e35a,Undirected
379f760d-1f29-4317-ab04-06a8218a874d,a88735e6-b35c-4379-8ef7-bbd2b793ccf4,Undirected
17e5415a-4448-48b7-a8aa-93f1f7bf5af2,a88735e6-b35c-4379-8ef7-bbd2b793ccf4,Undirected
33da1c5c-e177-4e70-ab30-58061a300121,a88735e6-b35c-4379-8ef7-bbd2b793ccf4,Undirected
13359cbb-e3b2-4d01-886c-085173f45471,a88735e6-b35c-4379-8ef7-bbd2b793ccf4,Undirected
1f41baad-817c-4e8d-81ea-9baae2589678,a88735e6-b35c-4379-8ef7-bbd2b793ccf4,Undirected
a88735e6-b35c-4379-8ef7-bbd2b793ccf4,d48db0f4-fab6-4d18-bc1f-aec43772af96,Undirected
35966105-5196-460a-b58f-865c3f3d36b8,a88735e6-b35c-4379-8ef7-bbd2b793ccf4,Undirected
020a3ff4-7fcf-4bc8-b00d-338a290deb8d,a88735e6-b35c-4379-8ef7-bbd2b793ccf4,Undirected
5fa29b31-c159-43f4-83a3-5862f6e45dc6,a88735e6-b35c-4379-8ef7-bbd2b793ccf4,Undirected
13359cbb-e3b2-4d01-886c-085173f45471,bcd3a77c-64a6-4c03-967b-92a0f6880c44,Undirected
a3fa6ee1-598d-4f06-a89d-ee2660eaeef3,bcd3a77c-64a6-4c03-967b-92a0f6880c44,Undirected
31a6b752-291c-456f-ade5-f4b85545e6df,bcd3a77c-64a6-4c03-967b-92a0f6880c44,Undirected
bcd3a77c-64a6-4c03-967b-92a0f6880c44,d452127a-e5ed-4b58-97db-54a2426b7e45,Undirected
aeff81b2-6e5c-4d1e-943f-e07b9a8cc29e,bcd3a77c-64a6-4c03-967b-92a0f6880c44,Undirected
7d9f69b7-81e7-4b42-ac24-ee58028740c8,bcd3a77c-64a6-4c03-967b-92a0f6880c44,Undirected
00b0f9ec-6bff-449e-98ea-50ac5129f215,bcd3a77c-64a6-4c03-967b-92a0f6880c44,Undirected
13194c93-89c6-4ab4-aaf2-15db5d73b74e,bcd3a77c-64a6-4c03-967b-92a0f6880c44,Undirected
575d4e21-9d41-43e3-a001-1df583de26fa,bcd3a77c-64a6-4c03-967b-92a0f6880c44,Undirected
31a6b752-291c-456f-ade5-f4b85545e6df,d452127a-e5ed-4b58-97db-54a2426b7e45,Undirected
31a6b752-291c-456f-ade5-f4b85545e6df,82822f34-826d-4316-a8f0-d48a96067009,Undirected
31a6b752-291c-456f-ade5-f4b85545e6df,4988f79d-2945-471d-b238-79f04949ed34,Undirected
31a6b752-291c-456f-ade5-f4b85545e6df,aeff81b2-6e5c-4d1e-943f-e07b9a8cc29e,Undirected
020a3ff4-7fcf-4bc8-b00d-338a290deb8d,31a6b752-291c-456f-ade5-f4b85545e6df,Undirected
26918716-9365-4f4a-991f-241ffc350628,31a6b752-291c-456f-ade5-f4b85545e6df,Undirected
31a6b752-291c-456f-ade5-f4b85545e6df,7d9f69b7-81e7-4b42-ac24-ee58028740c8,Undirected
31a6b752-291c-456f-ade5-f4b85545e6df,35143c2f-0484-44e2-bf27-7baa7ca5e135,Undirected
1111fd1f-7868-40a5-9dec-15dcd9b175a3,1f41baad-817c-4e8d-81ea-9baae2589678,Undirected
1111fd1f-7868-40a5-9dec-15dcd9b175a3,1757d48d-1979-4e2d-a373-24405c5431c3,Undirected
1111fd1f-7868-40a5-9dec-15dcd9b175a3,aeff81b2-6e5c-4d1e-943f-e07b9a8cc29e,Undirected
1111fd1f-7868-40a5-9dec-15dcd9b175a3,f90fa723-9d8f-4260-9e03-34778e0ea7d1,Undirected
1111fd1f-7868-40a5-9dec-15dcd9b175a3,4988f79d-2945-471d-b238-79f04949ed34,Undirected
1111fd1f-7868-40a5-9dec-15dcd9b175a3,bcd3a77c-64a6-4c03-967b-92a0f6880c44,Undirected
1111fd1f-7868-40a5-9dec-15dcd9b175a3,307e8e3a-1910-4ccd-a25e-38f14ff750cf,Undirected
1111fd1f-7868-40a5-9dec-15dcd9b175a3,35143c2f-0484-44e2-bf27-7baa7ca5e135,Undirected
1111fd1f-7868-40a5-9dec-15dcd9b175a3,7d9f69b7-81e7-4b42-ac24-ee58028740c8,Undirected
4988f79d-2945-471d-b238-79f04949ed34,9040f037-eeb5-4b07-8ff2-2e04c707eff7,Undirected
1ba71ace-1957-4f6c-a8eb-82834418cb76,4988f79d-2945-471d-b238-79f04949ed34,Undirected
4988f79d-2945-471d-b238-79f04949ed34,dd0e6c05-2af1-4d8a-9262-2d227e25497d,Undirected
35143c2f-0484-44e2-bf27-7baa7ca5e135,4988f79d-2945-471d-b238-79f04949ed34,Undirected
4988f79d-2945-471d-b238-79f04949ed34,d452127a-e5ed-4b58-97db-54a2426b7e45,Undirected
0c9d85d2-0666-4471-9842-d5a346523f73,4988f79d-2945-471d-b238-79f04949ed34,Undirected
4988f79d-2945-471d-b238-79f04949ed34,617dfc80-eb78-4f54-bdc2-39412dacd7b3,Undirected
17410183-d250-49c9-8be1-04d26fa4c71d,4988f79d-2945-471d-b238-79f04949ed34,Undirected
